id|livello|tipo|citazione|identificatore|data_documento|data_consultazione|temi|usata_in|esito_sintetico|stato|conflitto_dichiarato
F029|1|normativa|Decreto del Ministero della salute 31 dicembre 2024, n. 334, di concerto con MEF e Sottosegretario alla Presidenza del Consiglio con delega all'innovazione tecnologica. Istituzione dell'Ecosistema dati sanitari (EDS).|25A01321 - GU Serie Generale n. 53 del 05-03-2025|2024-12-31|2026-08-16|T1,T3,T0|-|TESTO INTEGRALE LETTO il 16-08-2026 (27 articoli, Allegati B e C; lettura effettuata in sessione precedente del progetto). Art. 5: il dossier farmaceutico non e' un documento del FSE ma un SERVIZIO dell'EDS, che ESTRAE prescrizioni farmaceutiche ed erogazioni dai documenti del FSE e dai dati di Sistema TS e ANA. Tre perdite del flusso, sostanza di OF4: (1) solo prescritto ed erogato, mai somministrato ne' assunto, e nulla che non passi da ricetta - OTC, integratori, campioni, terapie estere; (2) art. 3 c. 2 i dati oscurati non alimentano l'EDS e art. 5 c. 3 in nessun caso l'accesso consente di consultare documenti oscurati, quindi il dossier puo' essere parziale senza dichiararlo; (3) art. 8 consenso esplicito e disgiunto per finalita', c. 8 il mancato consenso non pregiudica la prestazione, quindi il flusso e' opzionale. Art. 18 accesso in emergenza previa verifica dell'incapacita'. Art. 13 accesso per finalita' di cura agli esercenti le professioni sanitarie anche fuori SSN previa autodichiarazione ex art. 47 DPR 445/2000: SE LA FARMACIA CHE DISPENSA VI RIENTRI NON E' CHIARITO DAL TESTO, da non risolvere a intuito. Art. 25 servizi attivi entro il 31-03-2026 e non prima della completa attuazione del FSE 2.0. LIMITE DICHIARATO: l'Allegato A, che elenca quali dati e quali servizi, e' in formato grafico e non leggibile nel testo GU; il dettaglio granulare del dossier resta non verificato. VERSIONE: modificato dal DM 8 luglio 2025 (F033), letto il 16-08-2026, che tocca solo art. 4 c. 2 e Allegato C su Broker e unita' di archiviazione: nessuno degli articoli sopra e' interessato dalla modifica.|verificata|na
F030|2|dato_istituzionale|FAQ sul Fascicolo sanitario elettronico. Garante per la protezione dei dati personali. Aggiornamento maggio 2026.|https://www.garanteprivacy.it/faq/fascicolo-sanitario|2026-05|2026-08-16|T3,T1|-|TESTO INTEGRALE LETTO il 16-08-2026: 19 FAQ. FAQ 17: il dossier farmaceutico e' una parte specifica del FSE aggiornata a cura della farmacia che effettua la dispensazione; sara' uno dei servizi offerti dall'EDS, che ne estrarra' prescrizioni ed erogazioni salvo i dati oscurati. E' l'Autorita' che riconosce alla farmacia il ruolo di alimentazione: regge il rilievo ruolo-senza-dotazione insieme a F029 e F032. FAQ 18: nel parere del 26-09-2024 (doc. web 10062302, vedi F037) il Garante ha richiesto che l'alimentazione e l'elaborazione dei dati per tutti i servizi dell'EDS avvengano solo previa completa attuazione della disciplina sul FSE 2.0 - conferma lo scarto fra flusso previsto e flusso disponibile, snodo di OF4. FAQ 14: i dati a maggior tutela (persone sieropositive, uso di stupefacenti, psicotropi e alcool, IVG, vittime di violenza sessuale, parto in anonimato, consultori) NASCONO oscurati: sono categorie ad alto rischio di interazione, rafforza OF2. FAQ 11: l'oscuramento avviene con modalita' tali da impedire agli altri abilitati di sapere che esistono dati oscurati (oscuramento dell'oscuramento). FAQ 7-8: il profilo sanitario sintetico e' redatto e aggiornato dal MMG/PLS. FAQ 10: elenco dei soggetti esclusi dall'accesso.|verificata|na
F031|2|dato_istituzionale|Elenco delle raccomandazioni ministeriali per la sicurezza dei pazienti. Agenas, Osservatorio nazionale delle buone pratiche sulla sicurezza nella sanita'. Pagina aggiornata al 17 dicembre 2020.|agenas.gov.it/aree-tematiche/qualita-e-sicurezza/rischio-clinico-e-sicurezza-del-paziente/monitoraggio-delle-raccomandazioni/elenco-raccomandazioni|2020-12-17|2026-08-16|T1,T0|-|PAGINA LETTA INTEGRALMENTE il 16-08-2026. Serve a UN SOLO SCOPO ma decisivo: documenta che nell'elenco ufficiale non risulta alcuna revisione della Raccomandazione n. 17, che compare nella versione del dicembre 2014, e che la serie si ferma alla n. 18 (dicembre 2018). La pagina dichiara raccomandazioni elaborate dal 2005 e aggiornate fino al 2017. FORMULA DA USARE NEL TESTO: nell'elenco ufficiale non risulta pubblicata alcuna revisione: si afferma l'assenza dall'elenco, che e' cio' che e' stato controllato, non un mai aggiornata in assoluto. Contiene i link diretti ai PDF di tutte le raccomandazioni 1-18.|verificata|na
F032|1|normativa|Decreto legislativo 3 ottobre 2009, n. 153. Individuazione di nuovi servizi erogati dalle farmacie nell'ambito del Servizio sanitario nazionale, nonche' disposizioni in materia di indennita' di residenza per i titolari di farmacie rurali.|09G0162|2009-10-03|2026-08-16|T1,T3,T0|-|TESTO VIGENTE AL 16-08-2026, letto integralmente (consolidato Normattiva fornito dall'autore). La RICONCILIAZIONE NON e' mai nominata: stessa cautela di F022, non scrivere che il decreto la impone. ART. 1 c. 2 lett. b): collaborazione delle farmacie al corretto utilizzo dei medicinali prescritti, al monitoraggio e all'aderenza. ART. 1 c. 2 lett. e-bis) - SNODO PER OF3 LATO TERRITORIALE: accesso personalizzato ai farmaci in attuazione del Piano nazionale cronicita'; la farmacia informa periodicamente il MMG/PLS o il medico prescrittore sulla regolarita' dell'assunzione dei farmaci e sulla necessita' di rinnovo delle prescrizioni per garantire l'aderenza. E' un flusso informativo farmacia-prescrittore prescritto per legge. La stessa lettera richiama il DOSSIER FARMACEUTICO ex art. 12 c. 2-bis del D.L. 179/2012: quella e' la base LEGISLATIVA del dossier, mentre F029 (DM EDS 31-12-2024) e' attuativo. Art. 12 c. 2-bis del D.L. 179/2012 DA REPERIRE. ART. 1 c. 2 lett. e-sexies): il farmacista effettua servizi di telemedicina nel rispetto dei requisiti funzionali delle linee guida nazionali - aggancio diretto di F024 al farmacista. AGGIORNAMENTO (5), L. 182/2025 art. 60 c. 2: le prestazioni da e-quater) a e-septies) sono A CARICO DEGLI UTENTI. RILIEVO PER LA TESI: stesso schema del DM 77 (F023) con strumento diverso - funzioni attribuite senza dotazione ne' copertura SSN. Il pattern e' ora documentato su due fonti di livello 1 indipendenti. Art. 1 c. 2 lett. f) e art. 2: richiami al Codice privacy e parere del Garante (rilevanza T3).|verificata|na
F033|1|normativa|Decreto del Ministero della salute 8 luglio 2025. Modifica del decreto 31 dicembre 2024 recante «Istituzione dell'Ecosistema dati sanitari».|25A04732 - GU Serie Generale n. 194 del 22-08-2025|2025-07-08|2026-08-16|T1,T3,T0|-|TESTO INTEGRALE LETTO il 16-08-2026 (consegna manuale del PDF dell'atto). Estremi confermati sulla scheda ELI, non piu' da riferimento indiretto. Due soli articoli. Art. 1: integra l'art. 4 c. 2 del DM EDS con le caratteristiche tecniche della componente Broker. Art. 2: sostituisce parti dell'Allegato C - ventidue unita' di archiviazione (ventuno regionali piu' UA-SASN), Broker EDS, servizi di interrogazione delle anagrafiche, servizio di trasferimento dati al cambio di regione di assistenza, flusso dati in chiaro. ESITO PER L'ELABORATO: nessun impatto. Non tocca gli articoli portanti di F029 (artt. 3, 5, 8, 13, 18, 25) ne' il dossier farmaceutico. Il rischio di usare F029 in versione superata era corretto da segnalare ed e' risultato negativo alla verifica. Pareri acquisiti: Garante n. 164 del 27-03-2025, ACN n. 136229 dell'11-04-2025.|verificata|na
F034|1|normativa|Decreto del Ministro della salute e del Sottosegretario di Stato alla Presidenza del Consiglio dei ministri con delega all'innovazione tecnologica, di concerto con il Ministro dell'economia e delle finanze, 7 settembre 2023. Fascicolo sanitario elettronico 2.0.|23A05829 - GU Serie Generale n. 249 del 24-10-2023|2023-09-07|2026-08-16|T1,T3,T0|-|TESTO INTEGRALE LETTO il 16-08-2026 (consegna manuale del PDF dell'atto): 29 articoli piu' Allegati A, B e C. LETTO NEL TESTO ORIGINARIO, NON NEL CONSOLIDATO (MC 2.1): il decreto e' modificato dal DM 11 novembre 2025 (F036), non ancora aperto; nulla si puo' affermare sullo stato vigente degli articoli da esso toccati, che restano da individuare. RILIEVO CENTRALE, corregge in meglio la tesi dell'elaborato: il farmacista NON e' assente dal quadro FSE. Art. 15 c. 3 lett. d) lo nomina fra chi accede in consultazione per finalita' di cura, e l'Allegato A par. 4.1.1 ne fissa la matrice: SI a dati identificativi e amministrativi, prescrizione farmaceutica, erogazione farmaci a carico SSN e non SSN; NO a profilo sanitario sintetico, lettera di dimissione, referti, cartella clinica, verbale di pronto soccorso. Il profilo gli da' il dispensato e gli nega i due documenti in cui vive la transizione di cura. Art. 3 c. 1: contenuti del FSE, elenco chiuso di tredici voci. Art. 4: il profilo sanitario sintetico e' redatto e aggiornato dal MMG-PLS; c. 6 in caso di variazione del medico il nuovo MMG ne redige uno nuovo. Art. 6: i dati a maggior tutela nascono oscurati. Art. 9 c. 6: oscuramento dell'oscuramento; c. 7 l'oscuramento di una prescrizione oscura automaticamente erogazioni e referti collegati; c. 3 l'assistito e' informato che il dato oscurato dopo l'alimentazione puo' essere gia' confluito nel profilo sanitario sintetico. Art. 12: soggetti che alimentano il FSE - ASL, strutture accreditate, strutture autorizzate, esercenti le professioni sanitarie quando operano in autonomia; c. 3 alimentazione entro cinque giorni dall'erogazione. Art. 20: accesso in emergenza, prioritariamente al profilo sanitario sintetico. Art. 27 c. 5: cessa il DPCM 178/2015 salvo Capi III e IV. LIMITI: l'Allegato A par. 4.1.2 (matrice prevenzione) e i par. 5.1-5.5 (servizi) sono in formato grafico e non leggibili nel testo GU.|verificata|na
F035|1|normativa|Decreto del Ministero della salute 27 giugno 2025. Indicazioni attuative per la definizione dei contenuti informativi del Profilo sanitario sintetico previsto dall'articolo 4 del decreto 7 settembre 2023, recante il «Fascicolo sanitario elettronico 2.0».|25A04814 - GU Serie Generale n. 202 del 01-09-2025|2025-06-27|2026-08-16|T1,T3|-|LETTA INTEGRALMENTE 16-08-2026 (2 articoli + Allegato 1). Definisce campo per campo il contenuto del par. 2.7 all. A di F034. RILIEVO CENTRALE PER T1: il campo «Terapie farmacologiche croniche» e' OBBLIGATORIO ma LIMITATAMENTE ALLE TERAPIE PRESCRITTE DA MMG/PLS; il campo «Terapie farmacologiche» (tutte le terapie in atto al momento della compilazione) e' compilabile SOLO a seguito della disponibilita' di appositi servizi dell'EDS, quindi oggi non compilabile. Vaccinazioni e gravidanze: solo dopo EDS. Piani di cura, trattamenti, visite/ricoveri, ADI, ADP, reti di patologia: solo dopo AGGIORNAMENTO del DM 7 settembre 2023 E disponibilita' EDS. Fattori di rischio (fumo, dipendenza da stupefacenti o alcool): FACOLTATIVO. Obbligatori: reazioni avverse a farmaci/alimenti, allergie, patologie in atto (limitatamente alle croniche), organi mancanti, trapianti, malformazioni. Parere favorevole Garante prov. n. 316 del 04-06-2025. Termine di redazione del PS per tutte le regioni: 30-09-2025 (art. 27-bis e all. D di F034). Rinvia al par. 5.2 all. A di F029 (servizio EDS di supporto alla compilazione). Letta su ristampa integrale della pagina GU n. 202 (sanitainformazione.it); tabella dell'Allegato 1 in font con codifica non standard, decodificata per shift +29 e verificata su piu' righe.|verificata|na
F036|1|normativa|Decreto del Ministero della salute 11 novembre 2025. Modifiche al decreto 7 settembre 2023 concernente il Fascicolo sanitario elettronico 2.0.|25A06570 - GU Serie Generale n. 286 del 10-12-2025|2025-11-11|2026-08-16|T1,T3,T0|-|LETTA INTEGRALMENTE 16-08-2026 (4 articoli). ESITO NEGATIVO SUL PUNTO CRITICO: NON tocca l'art. 15 ne' l'Allegato A par. 4.1.1 di F034, quindi la matrice di accesso del farmacista non e' modificata da questo decreto. Modifica soltanto: (a) art. 22, aggiungendo il punto di accesso telematico ex art. 64-bis CAD come canale delle notifiche sulle operazioni FSE (nuovo c. 1-bis); (b) art. 27-bis c. 2, ridefinendo i termini delle tre fasi attuative: I fase 30-06-2025, II fase 31-12-2025, III fase 31-03-2026; (c) sostituisce l'allegato D del DM 30 dicembre 2024 (in formato grafico, non leggibile nel testo GU). Non tocca nemmeno gli artt. 3, 4, 5, 6, 9, 12 di F034. Parere favorevole Garante prov. n. 360 del 23-06-2025. Registrato Corte dei conti 28-11-2025. ATTENZIONE: F034 e' modificata anche dal DM 30 dicembre 2024 (F038), non ancora aperto: la copertura dello stato vigente di F034 non e' completa con la sola lettura di questa. Letta su ristampa integrale «Atto completo» GU (mirror mefop.it), paginazione GU visibile 1/5-5/5.|verificata|na
F037|2|dato_istituzionale|Parere sullo schema di decreto recante Ecosistema dati sanitari. Garante per la protezione dei dati personali, provvedimento del 26 settembre 2024, doc. web n. 10062302.|garanteprivacy.it - doc. web 10062302|2024-09-26|2026-08-17|T3,T1,T0|-|"VERIFICATA su testo integrale (garanteprivacy.it, doc. web 10062302), 17-08-2026. Parere FAVOREVOLE CONDIZIONATO sullo schema del decreto EDS. Par. 2.3 (dossier farmaceutico): il Garante ha chiesto il riferimento alle sole prescrizioni ed erogazioni di farmaci e NON alla somministrazione, ""in quanto nel FSE 2.0 non sono registrate le informazioni relative all'avvenuta somministrazione di un medicinale"" - affermazione esplicita dell'autorita' di controllo, ancoraggio istituzionale di 'erogato non e' assunto' (OF1). Sempre par. 2.3: il DF non e' una banca dati ma un servizio di estrazione su richiesta; in nessun caso l'accesso al DF consente a soggetti diversi dall'assistito la consultazione dei documenti oscurati ex art. 9 del DM 7/9/2023 (rilievo per OF2). Par. 2: i dati oggetto di oscuramento non alimentano l'EDS (art. 3 c. 2 dello schema). Condizione del parere: alimentazione ed elaborazione dei dati FSE per i servizi EDS solo previa completa attuazione del DM 7/9/2023 nelle tre fasi. Par. 2.12: PSS e livelli diversificati di accesso in consultazione per finalita' di cura completati solo nella II fase (30-09-2025); oscuramento idem; registrazione operazioni I fase (31-03-2025). Istruttoria del febbraio 2024, segnalazione a Parlamento e Governo del 13-06-2024: molte disposizioni del DM 7/9/2023 ""risultavano essere disattese in molte regioni e province autonome"". INCOERENZA INTERNA (MB 6.2): il par. 2.12 colloca il termine della III fase prima al 31-03-2026 e poi al 31-12-2026. Le fasi sono state comunque ridefinite da F036 (30-06-2025 / 31-12-2025 / 31-03-2026): non citare il calendario da F037."|verificata|na
F038|1|normativa|Decreto del Ministro della salute e del Sottosegretario di Stato alla Presidenza del Consiglio dei ministri con delega all'innovazione tecnologica, di concerto con il Ministro dell'economia e delle finanze, 30 dicembre 2024. Modifiche al decreto 7 settembre 2023, in materia di Fascicolo sanitario elettronico 2.0.|estremi GU da reperire|2024-12-30|2026-08-16|T1,T3,T0|-|NON ANCORA REPERITA. Individuata il 16-08-2026 nelle premesse di F036, che ne riferisce il contenuto: ha inserito l'art. 27-bis in F034, prevedendo una disciplina transitoria di attuazione divisa in tre fasi, e ha introdotto l'allegato D poi sostituito da F036. E' il SECONDO atto modificativo di F034 e va aperto per completare la copertura dello stato vigente: F036 e' stata verificata e non tocca l'art. 15 ne' l'allegato A par. 4.1.1, ma finche' questa non e' letta non si puo' affermare che la matrice di accesso del farmacista sia oggi quella del testo originario. Priorita' alta ma successiva a F024/F025: l'oggetto dichiarato e' la disciplina transitoria, non i profili di accesso.|da_reperire|na
F039|3|review|Kwan JL, Lo L, Sampson M, Shojania KG. Medication reconciliation during transitions of care as a patient safety strategy: a systematic review. Ann Intern Med. 2013;158(5 Pt 2):397-403.|PMID 23460096 - doi 10.7326/0003-4819-158-5-201303051-00006|2013-03-05|2026-08-17|T1|-|Kwan 2013. Abstract letto sulla pagina PubMed. 18 studi, 20 interventi valutati; in 17 dei 20 la riconciliazione e eseguita da FARMACISTI: dato confermato, e la frase di apertura dell'elaborato oltre che il miglior argomento verso un editore che vende a farmacisti. CONTRAPPESO da riportare, non da omettere: la maggior parte delle discrepanze non intenzionali individuate non aveva significato clinico, e la riconciliazione da sola probabilmente non riduce il ricorso all'ospedale dopo la dimissione, mentre potrebbe farlo se inserita in un pacchetto di interventi sulle transizioni. Ricerche: MEDLINE fino a novembre 2012, EMBASE e CENTRAL fino a luglio 2012. Numeri specifici oltre il 17 su 20 e dettagli di metodo richiedono il full text (MB 6.3).|abstract_verificato|-
F040|3|review|Mueller SK, Sponsler KC, Kripalani S, Schnipper JL. Hospital-based medication reconciliation practices: a systematic review. Arch Intern Med. 2012;172(14):1057-69.|PMID 22733210 - PMCID PMC3575731 - doi 10.1001/archinternmed.2012.2246|2012-07-23|2026-08-18|T1|-|TESTO INTEGRALE LETTO nel manoscritto d'autore NIH (nihms434683, versione accettata: dichiarare cosi la modalita di lettura). Revisione sistematica, Medline dal 1966 a febbraio 2012 piu ricerca a mano nelle bibliografie; 26 studi controllati - 10 RCT, 3 controllati non randomizzati, 13 pre-post. Nessuna meta-analisi: eterogeneita di metodi, interventi ed esiti. REPERTO DECISIVO, E NON E QUELLO ATTESO: la cifra del 70% NON nasce qui. Nell'introduzione gli autori scrivono che le discrepanze ricorrono FINO AL 70% dei pazienti in ammissione o in dimissione rinviando a CINQUE riferimenti (rif. 6-10: Cornish 2005 Arch Intern Med; Gleason 2004 Am J Health Syst Pharm; Pippins 2008 J Gen Intern Med; Tam 2005 CMAJ; Wong 2008 Ann Pharmacother), e che circa un terzo di esse ha potenziale di danno rinviando al solo rif. 10 (Wong 2008). F040 e dunque essa stessa un riferimento di SECONDA MANO: la catena non finisce qui, arretra di un passo e si apre a cinque primarie. Inoltre il numero non coincide: Mueller scrive 'fino al 70%', mentre la Raccomandazione 17 (F021) porta 67%. Non e la stessa cifra e non e detto che venga da qui: l'attribuzione della Racc. 17 a Mueller resta da riscontrare sul testo della Raccomandazione. Qualita degli studi (criteri USPSTF): solo 6 su 26 di qualita BUONA, 5 discreta, 15 SCARSA. Risultati per categoria: riduzione delle discrepanze in 17 studi su 17, dei potenziali eventi avversi in 5 su 6, degli eventi avversi in 2 su 3, ma effetto INCOSTANTE sul ricorso ai servizi dopo la dimissione, migliorato in 2 studi su 8. Sui soli interventi con personale di farmacia (15 studi): discrepanze 10/10, potenziali eventi avversi 2/3, eventi avversi prevenibili 1/2, ricorso ai servizi 2/7. I due studi che spostano il ricorso ai servizi (Gillespie 2009: OR 0,84 su tutti gli accessi, -47% accessi in PS, -80% riammissioni correlate ai farmaci, nessuna differenza su riammissioni per ogni causa ne su mortalita; Koehler 2009: 10% contro 38,1% a 30 giorni) condividono quattro tratti: popolazione ristretta agli anziani (>=80 e >=70 anni), coinvolgimento INTENSIVO del personale di farmacia lungo tutto il ricovero, comunicazione al medico curante, follow-up telefonico. Dove il ruolo del farmacista era piu limitato o circoscritto a un solo momento, l'effetto sul ricorso ai servizi non c'e. LIMITE CHE VA SEMPRE RIPORTATO: in TUTTI i 26 studi il gruppo di confronto e la cura abituale, mai un intervento alternativo; gli autori scrivono per esteso che l'evidenza NON dimostra la superiorita della riconciliazione condotta dal farmacista rispetto ad altri interventi. Osservano inoltre che la cura abituale e verosimilmente migliorata dopo il mandato della Joint Commission del 2005, il che rende non confrontabili studi vecchi e nuovi - stesso argomento che gli autori di F057 useranno per spiegare il proprio risultato nullo. Nota di contesto utile alla tesi: fra i limiti gli autori segnalano che 14 studi su 26 sono extra-USA e ipotizzano che un accesso migliore alle informazioni sui farmaci, per esempio tramite fascicoli sanitari nazionali, renda l'attuazione piu efficace altrove che negli Stati Uniti. CONFLITTO: Kripalani consulente e con quote in PictureRx (strumenti di educazione al paziente); Schnipper consulente della Society of Hospital Medicine. Mueller e Sponsler nessuno. Qui la conclusione e FAVOREVOLE agli interventi con personale di farmacia e all'educazione del paziente, cioe nella stessa direzione dell'interesse: si_concorde ai sensi di MB 5.4. Ancoraggio indipendente disponibile in F042, che dichiara assenza di conflitti e sostiene lo stesso punto sulle discrepanze. Finanziamenti pubblici (NRSA T32, NHLBI R01 HL089755, AHRQ).|verificata|si_concorde
F041|3|review|Mekonnen AB, McLachlan AJ, Brien JE. Effectiveness of pharmacist-led medication reconciliation programmes on clinical outcomes at hospital transitions: a systematic review and meta-analysis. BMJ Open. 2016;6(2):e010003.|PMID 26908524 - PMCID PMC4769405 - doi 10.1136/bmjopen-2015-010003|2016-02-23|2026-08-17|T1|-|Mekonnen 2016 BMJ Open. Abstract letto sulla pagina PubMed. Revisione sistematica e meta-analisi di 17 studi, 21.342 pazienti adulti, 8 dei quali RCT; ricerche fino a dicembre 2014. Conclusione degli autori: i programmi di riconciliazione condotti dal FARMACISTA migliorano il ricorso ai servizi dopo il ricovero. Da leggere insieme a F039: gli interventi inclusi erano programmi COMPRENSIVI, con follow-up telefonico o visita domiciliare e counselling nei primi 30 giorni, cioe proprio la condizione che Kwan indica come necessaria perche la riconciliazione incida. Gli autori riportano eterogeneita statisticamente significativa su riammissioni e accessi in PS, e le analisi per sottogruppo non danno risultati statisticamente significativi. Le riduzioni percentuali e i rischi relativi stanno nell'abstract ma NON si citano da qui: MB 6.3 vieta il numero specifico da abstract_verificato. Full text libero su PMC4769405, da acquisire per usarli. Autori confermati sulla pagina: Alemayehu B Mekonnen, Andrew J McLachlan, Jo-Anne E Brien.|abstract_verificato|-
F042|3|review|Mekonnen AB, McLachlan AJ, Brien JE. Pharmacy-led medication reconciliation programmes at hospital transitions: a systematic review and meta-analysis. J Clin Pharm Ther. 2016;41(2):128-44.|PMID 26913812 - doi 10.1111/jcpt.12364|2016-04|2026-08-18|T1|-|TESTO INTEGRALE LETTO (PDF Wiley, consegna manuale 18/08/2026). Filone B. Revisione sistematica con meta-analisi sulla riconciliazione condotta dalla FARMACIA (farmacisti o tecnici di farmacia) contro cura abituale; sei banche dati, ricerche fino a dicembre 2014; 19 studi, 15.525 pazienti adulti, 11 RCT e 8 non randomizzati; 17 studi e 18 interventi nelle meta-analisi (9 in ammissione, 4 in dimissione, 5 su transizioni multiple). RISULTATO CENTRALE, ed e una seconda dissociazione: sulla TRANSIZIONE SINGOLA (ammissione oppure dimissione) la quota di pazienti con almeno una discrepanza si riduce del 66%, RR 0,34 (IC 95% 0,23-0,50), ma con eterogeneita estrema, I2 96%; sulle TRANSIZIONI MULTIPLE nessuna differenza, RR 0,88 (0,77-1,02), I2 0%. Il 66% del titolo e trainato dai non randomizzati: nel sottogruppo per disegno la stima e RR 0,20 (0,12-0,33) nei non-RCT contro RR 0,69 (0,51-0,92) nei soli RCT, differenza fra sottogruppi p<0,0001. La sensibilita sui soli RCT a transizione singola conferma il segno ma resta a I2 89% (fig. 4). ATTENZIONE TECNICA per l'accostamento con F057: nella meta-analisi a transizioni multiple (fig. 2, cinque studi) Kripalani 2012 pesa il 47,3%. F042 e F057 NON sono indipendenti su quel punto e non si citano come due riscontri separati. Numero medio di discrepanze per paziente (fig. 5, tre studi): differenza media -1,49 (-2,80; -0,17), I2 91%; il testo discorsivo riporta poi una sensibilita senza Walker con differenza media -2,03 (-2,69; -1,38) dichiarata NON significativa a P=0,33 - il dato e internamente incoerente e NON si cita (MB 6.2). Nessuna differenza fra farmacisti e tecnici di farmacia nei sottogruppi non randomizzati. Discrepanze di maggiore impatto clinico piu spesso intercettate dall'intervento che dalla cura abituale; nei diversi studi le discrepanze clinicamente rilevanti vanno dal 28% al 91%, quelle potenzialmente letali dall'1,2% al 2%. Limiti dichiarati: forte eterogeneita di interventi e definizioni, qualita moderata e non esente da bias, sola lingua inglese, asimmetria modesta del funnel plot sulle transizioni singole. RISCONTRO DI CITAZIONE: il frontespizio riporta 'Jo-anne E. Brien' - iniziale JE CONFERMATA sulla fonte primaria; il pendente di MB 6.1 punto 2 e chiuso. Coordinate confermate: J Clin Pharm Ther 2016;41:128-144, doi 10.1111/jcpt.12364. La bibliografia (rif. 19) riporta F040 Mueller con le stesse coordinate a registro: riscontro indiretto, non sostituisce la lettura. Gli autori dichiarano assenza di conflitti; nessun finanziamento.|verificata|no
F043|3|review|Wang H, Meng L, Song J, Yang J, Li J, Qiu F. Electronic medication reconciliation in hospitals: a systematic review and meta-analysis. Eur J Hosp Pharm. 2018;25(5):245-250.|PMID 31157034|2018-09|2026-08-18|T1|-|TESTO INTEGRALE LETTO (PDF Eur J Hosp Pharm). Filone B. Revisione sistematica con meta-analisi sulla riconciliazione elettronica; ricerche fino a ottobre 2017 su PubMed, EMBASE, Cochrane, Web of Science, ClinicalTrials.gov e quattro banche dati cinesi; 13 studi inclusi, di cui 3 RCT e 10 non randomizzati; qualita valutata con i nove criteri EPOC e dichiarata dagli autori non sufficientemente alta. Registrazione PROSPERO CRD42017067528. CONFERMA INDIPENDENTE DELLA DISSOCIAZIONE DI F047, su un corpus piu ampio e con tre anni in piu: riduzione della quota di FARMACI con discrepanza non intenzionale, RR 1,85 (IC 95% 1,55-2,21), I2 87%; nessuna differenza significativa sulla quota di PAZIENTI con discrepanza, RR 2,74 (0,59-12,73), I2 98%. Le omissioni calano, RR 4,40 (1,70-11,38), ma l'analisi di sensibilita toglie la significativita, RR 2,02 (0,91-4,50). Nessuna differenza significativa su dose, frequenza e duplicazione terapeutica. Impatto clinico prevalentemente lieve (grado C). REPERTO DI ATTUAZIONE, il piu utile per la tesi: dei 12 strumenti elettronici censiti NESSUNO era disponibile in commercio, quasi tutti sviluppati dentro il sistema informativo del singolo ospedale; usabilita, aderenza d'uso e soddisfazione dell'utente sono state valutate solo in pochi studi. Dove l'aderenza e stata misurata e spesso bassa: compliance dei medici 21,0% (50/238) in Poole; in Schnipper 2009 il Preadmission Medication List Builder e stato completato entro 24 ore solo nel 46,3% dei pazienti (75/162). Gli autori osservano che questi sistemi, da soli, non intercettano alcun errore non intenzionale: aiutano a costruire una lista accurata, non a validarla. Nota di attenzione sul verso degli RR: qui il rapporto e costruito in modo che i valori SOPRA 1 favoriscano lo strumento elettronico, all'inverso di F047. Nel testo non si accostano i due numeri senza dichiararlo. Il PDF riporta 'Eur J Hosp Pharm 2018;25:245-250', Published Online First 8 febbraio 2018: il numero di fascicolo (5) a registro NON e confermato dal PDF ed e da riscontrare. Finanziamento: Chongqing Science and Technology Commission, grant cstc2015shmszx0592; gli autori dichiarano assenza di conflitti - finanziatore pubblico non allineato alla conclusione.|verificata|no
